objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
575,16IH64,Howland St,106 Howland St,IS,,1609740085,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2229; METERED_FL=U; PLACEMENT=MIGRATED,16IH64,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1240531200000,{23DC9509-FAC5-5254-98C0-846D7D80B2CC},-71.089557730999957,42.314282910000031,106 (STREET_FEA 2220),STREET_FEA 2220,31,derived_0_50_ft,boston-sam,75732,106 Howland St,Howland St,42.31421866,-71.08963060,Howland Street & Humboldt Avenue,226,nearest_address
581,16IH92,Humboldt Ave,168 Humboldt Ave,IS,,1609740093,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2220; METERED_FL=U; PLACEMENT=MIGRATED,16IH92,,,DA,ADB-84-B,1990,,,,1,,1177632000000,chalmersh,1240531200000,{55C32871-2A23-515B-94CB-47C4D0863B9C},-71.088660412999957,42.314071876000071,168 (STREET_FEA 2229),STREET_FEA 2229,65,derived_50_100_ft,boston-sam,75970,168 Humboldt Ave,Humboldt Ave,42.31406866,-71.08842060,Howland Street & Humboldt Avenue,45,nearest_address
583,20IH88,Hammond St,10 Hammond St,IS,,2009740186,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3868; METERED_FL=U; PLACEMENT=MIGRATED,20IH88,,,US,USSEN,1980,,,,1,,1177632000000,chalmersh,1225152000000,{A6BD8058-AAEE-5326-809A-6B4030219F80},-71.082943106999949,42.334478743000034,STREET_FEA 4571,STREET_FEA 4571,138,derived_100_150_ft,boston-sam,165927,10 Hammond St,Hammond St,42.33437167,-71.08245026,Shawmut Avenue & Windsor Street,234,nearest_address
584,20IH114,Shawmut Ave,617-633 Shawmut Ave,IS,,2009740150,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2370; METERED_FL=U; PLACEMENT=MIGRATED,20IH114,,,DA,ADB-84-B,1990,,,,1,,1177632000000,connorsm,1225152000000,{B3C19D46-659A-5333-853D-1E2A1D2A6AB4},-71.081118435999940,42.335259558000075,633 (STREET_FEA 3868),STREET_FEA 3868,75,derived_50_100_ft,boston-sam,350488,617-633 Shawmut Ave,Shawmut Ave,42.33546215,-71.08107832,Kendall Street & Trotter Court,145,nearest_address
589,18HH152,Highland St,179-181 Highland St,IS,,1808740141,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2083; METERED_FL=U; PLACEMENT=MIGRATED,18HH152,,,US,USMET250,1987,,,,1,,1177632000000,palaciolv,1231718400000,{47998E7C-779F-5EBD-95B1-A62D64E6EB2D},-71.093180851999989,42.323689663000039,179-181 OP (STREET_FEA 2143),STREET_FEA 2143,84,derived_50_100_ft,boston-sam,73703,179-181 Highland St,Highland St,42.32375867,-71.09348060,Hawthorne Street & Highland Street,66,nearest_address
597,20IH73,Columbus Ave,835 Columbus Ave,IS,,2009740088,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3709; METERED_FL=U; PLACEMENT=MIGRATED,20IH73,,,MU,MUCENT,1985,,,,1,,1177632000000,connorsm,1225152000000,{EC882197-7DCA-5749-AC5B-81B3EBF4DA9A},-71.088684067999964,42.336608082000055,STREET_FEA 2806,STREET_FEA 2806,130,derived_100_150_ft,boston-sam,341579,835 Columbus Ave,Columbus Ave,42.33630563,-71.08842413,Columbus Avenue & Melnea Cass Boulevard,265,nearest_address
621,16JH88,Wayland St,100 Wayland St,IS,1086048000000,1610740089,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=391; METERED_FL=U; PLACEMENT=MIGRATED,16JH88,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1230076800000,{89A8FAC4-729B-5888-87F0-F37B9E0191C6},-71.076341117999959,42.314103727000031,100 (STREET_FEA 4415),STREET_FEA 4415,45,derived_0_50_ft,boston-sam,146627,100 Wayland St,Wayland St,42.31401866,-71.07646059,Balfour Street & Wayland Street,28,nearest_address
637,17IH174,Dale St,47 Dale St,IS,,1709740054,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2466; METERED_FL=U; PLACEMENT=MIGRATED,17IH174,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{BCF606BC-F6DD-544C-8669-E2BB7E04C0FA},-71.084392941999965,42.320856546000073,48 OPP (STREET_FEA 1241),STREET_FEA 1241,59,derived_50_100_ft,boston-sam,45739,47 Dale St,Dale St,42.32100867,-71.08447060,Dale Street & Rockland Avenue,27,nearest_address
647,19IH182,Williams St,26 Williams St,IS,,1909740024,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4398; METERED_FL=U; PLACEMENT=MIGRATED,19IH182,,,KE,KEK81-A,1982,,,,1,,1177632000000,blundonr,1255478400000,{357F06A9-685B-5243-B2CF-417A5F9A8D87},-71.082543341999951,42.332414495000080,24 (STREET_FEA 4542),STREET_FEA 4542,45,derived_0_50_ft,boston-sam,150149,26 Williams St,Williams St,42.33239867,-71.08271060,Eustis Street & Washington Street,281,nearest_address
653,18IH220,Dale St,101 Dale St,IS,1154736000000,1809740207,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3548; METERED_FL=U; PLACEMENT=MIGRATED,18IH220,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1230076800000,{CD42EF3D-B4B3-55CF-83BC-AAC87E488F0D},-71.088170363999950,42.322325383000077,103 (STREET_FEA 1241),STREET_FEA 1241,40,derived_0_50_ft,boston-sam,45712,101 Dale St,Dale St,42.32240867,-71.08807060,Dale Street & Regent Street,45,nearest_address
