objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
901,28KH96,Tufts St,42-50 Tufts St,IS,1181260800000,2811740149,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=5136; METERED_FL=U; PLACEMENT=MIGRATED,28KH96,,,KE,KEK81-A,2007,,,,1,,1177632000000,denapolipd,1221004800000,{0B0BDA78-9001-5AE6-BDCF-5B61FD4259E1},-71.056858756999986,42.378628504000062,42 (STREET_FEA 4234),STREET_FEA 4234,45,derived_0_50_ft,boston-sam,350577,42-50 Tufts St,Tufts St,42.37870897,-71.05698538,Tufts Street & Walford Way,81,nearest_address
916,28JH131,Bunker Hill Industrial Park,40 Bunker Hill Industrial Park,IS,,2810740170,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3725; METERED_FL=U; PLACEMENT=MIGRATED,28JH131,,,US,USMET250,1995,,,,1,,1177632000000,denapolipd,1220918400000,{884356DE-3F1E-5A1A-8472-26E04D1F6B70},-71.074905881999939,42.380008781000072,STREET_FEA 734,STREET_FEA 734,60,derived_50_100_ft,boston-sam,340032,40 Bunker Hill Industrial Park,Bunker Hill Industrial Park,42.37998592,-71.07512768,Hood Park Drive & Stack Street,439,nearest_address
923,27JH65,New Rutherford Avenue,Near New Rutherford Avenue & Rutherford Avenue,IS,,2710740059,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3043; METERED_FL=U; PLACEMENT=MIGRATED,27JH65,,,MU,MUCENT,1991,,,,1,,1177632000000,denapolipd,1220918400000,{B365CED3-E412-5C03-93F8-57C3CD2133D3},-71.068478522999953,42.376758269000049,60 (STREET_FEA 1408),STREET_FEA 1408,185,intersection_preferred_150_plus_ft,boston-sam,340713,65-91 Dunstable St,Dunstable St,42.37725134,-71.06865034,New Rutherford Avenue & Rutherford Avenue,282,nearest_intersection
927,28KH104,Monument St,77-85 Monument St,IS,1181260800000,2811740106,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=5136; METERED_FL=U; PLACEMENT=MIGRATED,28KH104,,,KE,KEK81-A,2007,,,,1,,1177632000000,blundonr,1220832000000,{5E56F485-269D-5AF5-818C-5DFC6BF2C662},-71.059097450999957,42.379268638000042,85 (STREET_FEA 2913),STREET_FEA 2913,27,derived_0_50_ft,boston-sam,341435,77-85 Monument St,Monument St,42.37922821,-71.05901146,Monument Street & Walford Way,119,nearest_address
937,28KH128,Allston St,26 Allston St,IS,,2811740049,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=733; METERED_FL=U; PLACEMENT=MIGRATED,28KH128,,,WA,WAWB67P,1987,,,,1,,1177632000000,blundonr,1255478400000,{A64826B7-8B11-5133-8732-65758B2B70DA},-71.063513302999979,42.380475387000047,26 (STREET_FEA 207),STREET_FEA 207,27,derived_0_50_ft,boston-sam,2676,26 Allston St,Allston St,42.38049868,-71.06361059,Cook Street & Hill Street,150,nearest_address
940,28KH68,Wall St,11 Wall St,IS,,2811740079,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3719; METERED_FL=U; PLACEMENT=MIGRATED,28KH68,,,KE,KEK81-A,1995,,,,1,,1177632000000,denapolipd,1220918400000,{E52C6EAA-5DCB-551A-8480-52A45525F22D},-71.065518080999937,42.379834585000026,11 (STREET_FEA 4352),STREET_FEA 4352,13,derived_0_50_ft,boston-sam,141783,11 Wall St,Wall St,42.37980868,-71.06555059,Bunker Hill Street & Sackville Street,175,nearest_address
977,28JH3,Rutherford Ave,440-458 Rutherford Ave,IS,,2810740142,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3725; METERED_FL=U; PLACEMENT=MIGRATED,28JH3,,,MU,MUCENT,2000,,,,1,,1177632000000,denapolipd,1220918400000,{6BA2BCBD-81F4-5313-B18B-402870A75FAA},-71.073008702999971,42.378220538000051,440 (STREET_FEA 734),STREET_FEA 734,141,derived_100_150_ft,boston-sam,119942,440-458 Rutherford Ave,Rutherford Ave,42.37858576,-71.07283173,Bunker Hill Industrial Park & Half Pint Way,500,nearest_address
993,29JH121,Cambridge Street,Near Cambridge Street & Spice Street,IS,,2910740142,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3960; METERED_FL=U; PLACEMENT=denapolipd,29JH121,,,KE,KEK81-A,1995,,,,1,,1247616000000,blundonr,1249430400000,{A2F8B0BC-2F28-53C5-9298-01164590596A},-71.076270380999972,42.383110910000028,STREET_FEA 790,STREET_FEA 790,213,intersection_preferred_150_plus_ft,boston-sam,25145,50 Cambridge St,Cambridge St,42.38334593,-71.07554563,Cambridge Street & Spice Street,289,nearest_intersection
1104,28LH24,Sixteenth Street,Near Sixteenth Street & Third Avenue,IS,,2812740027,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4156; METERED_FL=U; PLACEMENT=MIGRATED,28LH24,,,KE,KEK81-A,1997,,,,1,,1177632000000,denapolipd,1221004800000,{AB81DED0-8833-5E3B-A474-E5E8793768D5},-71.050217692999979,42.378551514000037,STREET_FEA 3912,STREET_FEA 3912,337,intersection_preferred_150_plus_ft,boston-sam,419338,98 Sixteenth St,Sixteenth St,42.37947505,-71.05028247,Sixteenth Street & Third Avenue,39,nearest_intersection
1141,28JH17,Eden St,41 Eden St,IS,1117584000000,2810740089,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=1441; METERED_FL=U; PLACEMENT=MIGRATED,28JH17,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1220832000000,{8B4EF1AB-D40C-5FE4-85CF-9C999A33F598},-71.067111375999957,42.380002140000045,68 (STREET_FEA 3719),STREET_FEA 3719,34,derived_0_50_ft,boston-sam,51053,41 Eden St,Eden St,42.37992868,-71.06719059,Eden Street & Russell Street,46,nearest_address
