objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
629,27MH58,Paris St,143 Paris St,IS,694224000000,2713740122,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3360; METERED_FL=U; PLACEMENT=MIGRATED,27MH58,,,MU,MUCENT,1992,,,,1,,1177632000000,orrda,1445212800000,{1887942B-3923-5088-B06B-4B10B9D9BC8C},-71.036724672999981,42.373254943000063,143 OPP (STREET_FEA 3203),STREET_FEA 3203,59,derived_50_100_ft,boston-sam,106477,143 Paris St,Paris St,42.37313868,-71.03657058,Paris Street & Porter Street,86,nearest_address
640,26LH70,London St,4-28 London St,IS,,2612740106,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4062; METERED_FL=U; PLACEMENT=palaciolv,26LH70,,,MU,MUCENT,2005,,,,1,,1193356800000,blundonr,1244505600000,{9AE1BD3A-CF2D-5F72-8A46-480A60F026F9},-71.041727941999966,42.369966701000067,7-25 (STREET_FEA 2587),STREET_FEA 2587,72,derived_50_100_ft,boston-sam,87052,4-28 London St,London St,42.37014868,-71.04183659,London Street & Private Way,72,nearest_address
657,25MH36,Sumner St,512 Sumner St,IS,,2513740033,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4422; METERED_FL=U; PLACEMENT=MIGRATED,25MH36,,,MU,MUCENT,1989,,,,1,,1177632000000,blundonr,1244505600000,{02AA7A3C-970D-568F-9B3C-07FA22DA1CD5},-71.030294420999951,42.364843719000078,512 (STREET_FEA 4062),STREET_FEA 4062,41,derived_0_50_ft,boston-sam,132511,512 Sumner St,Sumner St,42.36494868,-71.03024058,Sumner Street & Webster Street,93,nearest_address
670,27LH34,Maverick St,1 Maverick St,IS,896659200000,2712740064,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=588; METERED_FL=U; PLACEMENT=MIGRATED,27LH34,,,KE,KEK81-A,1998,,,,1,,1177632000000,denapolipd,1217894400000,{0090ABFF-9381-56ED-AEEA-DD9E25C062C4},-71.042887287999974,42.371816188000025,15 (STREET_FEA 3031),STREET_FEA 3031,60,derived_50_100_ft,boston-sam,355338,1 Maverick St,Maverick St,42.37165252,-71.04286279,Maverick Street & New Street,35,nearest_address
682,28MH48,Monmouth Sq,1 Monmouth Sq,IS,,2813740060,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=701; METERED_FL=U; PLACEMENT=MIGRATED,28MH48,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1217894400000,{7C52BC2F-6B01-54E5-A244-4D40FFD0EC87},-71.037084435999986,42.380489863000037,74 OPP (STREET_FEA 4502),STREET_FEA 4502,37,derived_0_50_ft,boston-sam,96416,1 Monmouth Sq,Monmouth Sq,42.38041368,-71.03699158,Brooks Street & Monmouth Street,269,nearest_address
689,28MH44,Marion St,10-14 Marion St,IS,,2813740064,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=500; METERED_FL=U; PLACEMENT=MIGRATED,28MH44,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1217894400000,{CCF41877-20FF-5168-9E6D-528EDF32BB2F},-71.038734930999965,42.380498733000024,26 OPP (STREET_FEA 4502),STREET_FEA 4502,29,derived_0_50_ft,boston-sam,89951,10-14 Marion St,Marion St,42.38042868,-71.03868058,Marion Street & White Street,52,nearest_address
697,29OH14,Saratoga St,855 Saratoga St,IS,,2915740078,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4465; METERED_FL=U; PLACEMENT=MIGRATED,29OH14,,,MU,MUCENT,1963,,,,1,,1177632000000,blundonr,1255478400000,{A4D4356A-799F-5464-8A81-409DA8FC1552},-71.013396907999947,42.385102257000028,855 (STREET_FEA 3793),STREET_FEA 3793,30,derived_0_50_ft,boston-sam,122846,855 Saratoga St,Saratoga St,42.38502868,-71.01335058,Saratoga Street & Westbrook Street,138,nearest_address
717,26NH75,Massachusetts Turnpike,Near Massachusetts Turnpike & Ted Williams Tunnel,IS,1046995200000,2614740099,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=3404; METERED_FL=U; PLACEMENT=digiornom,26NH75,,,U,U,,,,,1,,1442880000000,digiornom,1442880000000,{46507956-9B26-592F-8A53-21CE487622D9},-71.025835900999937,42.365779839000027,STREET_FEA 2010,STREET_FEA 2010,249,intersection_preferred_150_plus_ft,boston-sam,347660,16 Transportation Way,Transportation Way,42.36640924,-71.02619694,Massachusetts Turnpike & Ted Williams Tunnel,289,nearest_intersection
785,29NH62,Saratoga St,815 Saratoga St,IS,536457600000,2914740036,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4637; METERED_FL=U; PLACEMENT=MIGRATED,29NH62,,,MU,MUCENT,1993,,,,1,,1177632000000,chalmersh,1217980800000,{B509FEA5-8F29-5EC4-958B-B8D5031CFF94},-71.015224272999944,42.384426495000071,815 (STREET_FEA 3793),STREET_FEA 3793,35,derived_0_50_ft,boston-sam,122813,815 Saratoga St,Saratoga St,42.38435868,-71.01513058,Saratoga Street & Wordsworth Street,66,nearest_address
788,28NH70,Neptune Cir,29-31 Neptune Cir,IS,,2814740052,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2205; METERED_FL=U; PLACEMENT=MIGRATED,28NH70,,,MU,MUCENT,1993,,,,1,,1177632000000,chalmersh,1217894400000,{2256BBA0-D6A3-510B-8036-2F7034C267EC},-71.018235019999963,42.380812729000070,31 (STREET_FEA 3024),STREET_FEA 3024,57,derived_50_100_ft,boston-sam,100995,29-31 Neptune Cir,Neptune Cir,42.38088868,-71.01842058,Homer Street & Moore Street,265,nearest_address
