objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
7546,22KH60,Johnny Ct,8 Johnny Ct,IS,,2211740063,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2683; METERED_FL=U; PLACEMENT=MIGRATED,22KH60,,,SM,SMH205,1974,,,,1,,1177632000000,blundonr,1244505600000,{72248F75-AA5C-5AB3-B14F-B888AB062757},-71.063389481999934,42.347965507000026,8 (STREET_FEA 2330),STREET_FEA 2330,39,derived_0_50_ft,boston-sam,79891,8 Johnny Ct,Johnny Ct,42.34788867,-71.06329059,Johnny Court & Maple Place,4,nearest_address
7590,22KH96,Hudson St,79 Hudson St,IS,1248307200000,2211740033,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2051; METERED_FL=U; PLACEMENT=MIGRATED,22KH96,,,KE,KEK81-A,1992,,,,1,,1177632000000,BlundoNR,1291680000000,{B06DE02D-AA29-528A-A0D3-5AB6F1F6AC46},-71.060876100999963,42.348870270000077,79 (STREET_FEA 2225),STREET_FEA 2225,28,derived_0_50_ft,boston-sam,75882,79 Hudson St,Hudson St,42.34893867,-71.06092059,Harvard Street & Hudson Street,154,nearest_address
7753,22KH22,Washington St,900 Washington St,IS,,2211740069,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3311; METERED_FL=U; PLACEMENT=MIGRATED,22KH22,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1244505600000,{DEBD7B78-0F91-5F97-9286-FDC766A15221},-71.064424041999985,42.347770893000074,885 (STREET_FEA 4392),STREET_FEA 4392,144,derived_100_150_ft,boston-sam,156238,900 Washington St,Washington St,42.34746221,-71.06409141,Pine Street & Washington Street,48,nearest_address
8088,22KH76,Harrison Ave,150 Harrison Ave,IS,,2211740004,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=501; METERED_FL=U; PLACEMENT=MIGRATED,22KH76,,,MU,MUCENT,1976,,,,1,,1177632000000,blundonr,1244505600000,{5223FFD1-4257-5839-9AA2-53C32679673E},-71.061949923999975,42.349371981000047,171 OPP (STREET_FEA 2030),STREET_FEA 2030,41,derived_0_50_ft,boston-sam,69806,150 Harrison Ave,Harrison Ave,42.34944857,-71.06183599,Bennet Street & Harrison Avenue,78,nearest_address
8095,22KH62,Oak St,29 Oak St,IS,991353600000,2211740049,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2683; METERED_FL=U; PLACEMENT=MIGRATED,22KH62,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1244505600000,{DA6E1D3A-5D12-5B6A-9717-2BD04591EEFE},-71.063190254999938,42.348329367000076,29 OPP (STREET_FEA 3119),STREET_FEA 3119,43,derived_0_50_ft,boston-sam,104571,29 Oak St,Oak St,42.34821167,-71.06319959,Maple Place & Oak Street,22,nearest_address
8178,22KH78,Harrison Ave,288 Harrison Ave,IS,1248307200000,2211740088,,,,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2225; METERED_FL=U; PLACEMENT=MIGRATED,22KH78,,,KE,KEK81-A,2009,,,,1,,1177632000000,chalmersh,1280966400000,{F729FC0D-C75E-5024-890A-BC99EFAB8AEB},-71.062690728999939,42.346965391000026,STREET_FEA 2030,STREET_FEA 2030,98,derived_50_100_ft,boston-sam,439620,288 Harrison Ave,Harrison Ave,42.34723366,-71.06266542,Harrison Avenue & Hudson Street,82,nearest_address
8180,22KH80,Harrison Ave,240-250 Harrison Ave,IS,1248307200000,2211740084,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2225; METERED_FL=U; PLACEMENT=MIGRATED,22KH80,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1280966400000,{A9A74CBC-1C96-54BD-A769-7C6F20F9F618},-71.061827126999958,42.347274794000043,250 BACK (STREET_FEA 2030),STREET_FEA 2030,91,derived_50_100_ft,boston-sam,166041,240-250 Harrison Ave,Harrison Ave,42.34749034,-71.06199857,Oak Street & Tyler Street,273,nearest_address
8182,23KH779,Beach St,31-37 Beach St,IS,,2311740719,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2030; METERED_FL=U; PLACEMENT=MIGRATED,23KH779,,,MU,MUCENT,1987,,,,1,,1177632000000,blundonr,1244505600000,{2E26C750-B242-5623-AC5C-C98A2BBBC0AD},-71.061465188999989,42.351402687000075,31-37 (STREET_FEA 440),STREET_FEA 440,54,derived_50_100_ft,boston-sam,9389,31-37 Beach St,Beach St,42.35132567,-71.06163459,Beach Street & Harrison Avenue,80,nearest_address
8334,23KH864,Kingston St,118-120 Kingston St,IS,1404864000000,2311740843,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1551; METERED_FL=U; PLACEMENT=MIGRATED,23KH864,,,KE,KEK81-A,2012,,,,1,,1177632000000,mulline,1442880000000,{93C02962-0ECD-524C-8E08-283DFAE9EA66},-71.059300657999984,42.352361346000066,120 (STREET_FEA 2406),STREET_FEA 2406,62,derived_50_100_ft,boston-sam,344171,118-120 Kingston St,Kingston St,42.35227947,-71.05909686,Edinboro Street & Kingston Street,270,nearest_address
8392,23KH108,Harrison Ave,75 Harrison Ave,IS,567993600000,2311740486,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=440; METERED_FL=U; PLACEMENT=MIGRATED,23KH108,,,MU,MUCENT,2003,,,,1,,1177632000000,chalmersh,1250208000000,{56E841D4-2EE0-5324-A98A-E76B2F672B88},-71.061401560999968,42.351133906000030,68-74 OPP (STREET_FEA 2030),STREET_FEA 2030,44,derived_0_50_ft,boston-sam,70054,75 Harrison Ave,Harrison Ave,42.35112667,-71.06156359,Harrison Avenue & Knapp Street,107,nearest_address
