objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1173,22LH14,Channel Center St,20 Channel Center St,IS,441763200000,2212740118,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5518; METERED_FL=U; PLACEMENT=MIGRATED,22LH14,,,MU,MUCENT,1984,,,,1,,1177632000000,blundonr,1255478400000,{E2089FF2-699B-56FC-BFF4-FE51DA18EBD4},-71.052134384999988,42.345831691000058,207 OPP (STREET_FEA 112),STREET_FEA 112,96,derived_50_100_ft,boston-sam,28853,20 Channel Center St,Channel Center St,42.34570867,-71.05182059,A Street & Iron Street,304,nearest_address
1218,22LH62,Necco St,15 Necco St,IS,1182729600000,2212740020,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3414; METERED_FL=U; PLACEMENT=MIGRATED,22LH62,,,MU,MUCENT,2006,,,,1,,1177632000000,chings,1457568000000,{8C887EBE-0FE0-5EE2-863E-76436A1527CE},-71.051186344999962,42.348861262000071,10 OPP (STREET_FEA 3015),STREET_FEA 3015,56,derived_50_100_ft,boston-sam,421292,15 Necco St,Necco St,42.34897690,-71.05132426,Necco Place & Necco Street,106,nearest_address
1235,22LH94,Summer St,425 Summer St,IS,189302400000,2212740091,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1235; METERED_FL=U; PLACEMENT=MIGRATED,22LH94,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{053494C1-8A21-5429-A92F-63CD4B4E7A5F},-71.042789080999967,42.346475692000070,STREET_FEA 4051,STREET_FEA 4051,123,derived_100_150_ft,boston-sam,344059,425 Summer St,Summer St,42.34622811,-71.04309997,D Street & Summer Street,159,nearest_address
1324,22MH75,Au Bon Pain Way,Near Au Bon Pain Way & Bollard Way,IS,,2213740064,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=1652; METERED_FL=U; PLACEMENT=MIGRATED,22MH75,,,U,U,,,,,1,,1177632000000,connorsm,1417996800000,{347D3648-1683-5928-92F8-34B6593AD779},-71.028376579999986,42.345758423000063,19 (STREET_FEA 580),STREET_FEA 580,255,intersection_preferred_150_plus_ft,boston-sam,448628,23 Fid Kennedy Ave,Fid Kennedy Ave,42.34634581,-71.02889073,Au Bon Pain Way & Bollard Way,221,nearest_intersection
1382,22MH166,Congress St,601 Congress St,IS,,2213740209,,,U,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=0; METERED_FL=U; PLACEMENT=connorsm,22MH166,,,U,U,,,,,1,,1442793600000,connorsm,1442793600000,{0E2A7798-D0DF-5FA9-88BA-70968CAB5A9E},-71.039444282999966,42.347195691000024,STREET_FEA 0,STREET_FEA 0,148,derived_100_150_ft,boston-sam,42119,601 Congress St,Congress St,42.34744367,-71.03987958,Port Lane & South Boston Piers Transitway,33,nearest_address
1390,20LH260,W First St,390-402 W First St,IS,1328227200000,2012740296,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=15; METERED_FL=U; PLACEMENT=chalmersh,20LH260,,,KE,KEK81-A,2010,,,,1,,1400112000000,chalmersh,1400112000000,{8F6D4409-87F0-5EA6-B9BC-6721A5F0E08D},-71.044100990999937,42.338059427000076,378 (STREET_FEA 83),STREET_FEA 83,130,derived_100_150_ft,boston-sam,344792,390-402 W First St,W First St,42.33776865,-71.04382364,East First Street & Pappas Way,56,nearest_address
1454,22MH46,Fid Kennedy Ave,2 Fid Kennedy Ave,IS,,2213740019,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2069; METERED_FL=U; PLACEMENT=MIGRATED,22MH46,,,US,USMET250,1995,,,,1,,1177632000000,connorsm,1364428800000,{3DB3E85F-95EE-5AC4-859E-4D147C803CD5},-71.033743423999965,42.348118984000052,STREET_FEA 3099,STREET_FEA 3099,104,derived_100_150_ft,boston-sam,165254,2 Fid Kennedy Ave,Fid Kennedy Ave,42.34813046,-71.03335594,Fid Kennedy Avenue & Seafood Way,274,nearest_address
1467,23LH666,Autumn Ln,99 Autumn Ln,IS,754704000000,2312740234,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1103; METERED_FL=U; PLACEMENT=MIGRATED,23LH666,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1255478400000,{3F605546-9732-54E8-9403-C33E027CE273},-71.046203300999935,42.350731634000056,STREET_FEA 4461,STREET_FEA 4461,85,derived_50_100_ft,boston-sam,437724,99 Autumn Ln,Autumn Ln,42.35075708,-71.04588772,Autumn Lane & Boston Wharf Road,103,nearest_address
1476,20LH240,E First St,407-409 E First St,IS,852076800000,2012740021,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=83; METERED_FL=U; PLACEMENT=MIGRATED,20LH240,,,KE,KEK81-A,1998,,,,1,,1177632000000,connorsm,1221177600000,{EEF41239-7046-56D8-8AB6-07591E3A24AE},-71.043520599999965,42.338073126000040,STREET_FEA 15,STREET_FEA 15,64,derived_50_100_ft,boston-sam,344793,407-409 E First St,E First St,42.33789727,-71.04349281,East First Street & Pappas Way,106,nearest_address
1478,23LH680,Sleeper St,30 Sleeper St,IS,1186704000000,2312740248,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=1104; METERED_FL=U; PLACEMENT=mulline,23LH680,,,KE,KEK81-A,2007,,,,1,,1207612800000,BlundoNR,1330992000000,{4E4AB41B-E6F8-5849-B683-E2FF81B0AAB3},-71.049262882999983,42.352493276000075,33-37 OPP (STREET_FEA 3916),STREET_FEA 3916,36,derived_0_50_ft,boston-sam,422429,30 Sleeper St,Sleeper St,42.35250364,-71.04913118,Seaport Boulevard & Sleeper Street,327,nearest_address
