objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
11901,25EH54,STREET_FEA 1577,287 (STREET_FEA 1577),IS,,2505740071,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3526; METERED_FL=U; PLACEMENT=MIGRATED,25EH54,,,KE,KEK81-A,2004,,,,1,,1177632000000,blundonr,1255478400000,{837597C4-EDF9-5B35-9D99-AC3E842CE1E2},-71.135467128999949,42.362593405000041
11902,3EH6,STREET_FEA 88,2 (STREET_FEA 88),IS,,305740091,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1546; METERED_FL=U; PLACEMENT=MIGRATED,3EH6,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{B0FFDD4B-563C-5015-846B-1DD81345837D},-71.143413549999934,42.240816319000032
11903,19JH138,STREET_FEA 2744,911 (STREET_FEA 2744),IS,,1910740110,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=959; METERED_FL=U; PLACEMENT=MIGRATED,19JH138,,,KE,KEK81-A,1995,,,,1,,1177632000000,mulline,1231718400000,{BB05220A-9D9B-5DA2-ACFD-EC68398B4DE5},-71.070156370999939,42.330562085000054
11904,29JH123,STREET_FEA 3960,32 (STREET_FEA 3960),IS,,2910740144,,,U,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=BlundoNR,29JH123,,,KE,KEK81-A,1994,,,,1,,1294963200000,BlundoNR,1294963200000,{AE32AF0F-F2F6-5D60-A3FD-CC7C4463E690},-71.074480051999956,42.382558768000081
11905,15FH4,STREET_FEA 4616,15 (STREET_FEA 4616),IS,,1506740045,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2937; METERED_FL=U; PLACEMENT=MIGRATED,15FH4,,,MU,MUCENT,1992,,,,1,,1177632000000,chalmersh,1233273600000,{05421DDB-70D4-54DB-9921-4619A58EB2E4},-71.127686388999962,42.310050516000047
11906,3FH78,STREET_FEA 985,128 (STREET_FEA 985),IS,,306740012,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4394; METERED_FL=U; PLACEMENT=MIGRATED,3FH78,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{22F32C52-FFE0-5DAA-81C0-96CACA7A9026},-71.120386442999973,42.244659012000056
11907,8FH8,STREET_FEA 1299,100 (STREET_FEA 1299),IS,,806740076,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=1901; METERED_FL=U; PLACEMENT=MIGRATED,8FH8,,,KE,MUCENT,2002,,,,1,,1177632000000,hoffmanr,1456358400000,{38FBADDB-F36B-5E50-BF84-BB66A4A935D3},-71.130974199999969,42.269212100000061
11908,17HH177,STREET_FEA 1687,101 (STREET_FEA 1687),IS,,1708740176,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=960; METERED_FL=U; PLACEMENT=MIGRATED,17HH177,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1231459200000,{F3BEE4C9-14A8-5C52-A9C1-9C645B1DEEE1},-71.105704463999984,42.319661493000069
11909,24DH18,STREET_FEA 3241,225 (STREET_FEA 3241),IS,1215993600000,2404740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1475; METERED_FL=U; PLACEMENT=MIGRATED,24DH18,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1254787200000,{B52A0677-A85B-560E-946B-59368684683C},-71.157224271999951,42.356924788000072
11910,5FH66,STREET_FEA 2941,9 (STREET_FEA 2941),IS,,506740008,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1032; METERED_FL=U; PLACEMENT=MIGRATED,5FH66,,,KE,KEK81-A,2007,,,,1,,1177632000000,palaciolv,1236211200000,{941F2015-9B1A-5729-A079-2AC4EAAEAEA1},-71.131647371999975,42.256223426000076
