objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
8633,22DH143,Colborne Rd,120 Colborne Rd,IS,,2204740156,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1054; METERED_FL=U; PLACEMENT=MIGRATED,22DH143,,,US,USMET250,1988,,,,1,,1177632000000,denapolipd,1253491200000,{464B5C55-B804-5E1A-93C7-50F5E57EDA04},-71.149862898999970,42.344526004000045,4 (STREET_FEA 3110),STREET_FEA 3110,46,derived_0_50_ft,boston-sam,34388,120 Colborne Rd,Colborne Rd,42.34451867,-71.14969062,Blenford Road & Colborne Road,48,nearest_address
8634,19DH2,Beacon St,2496 Beacon St,IS,,1904740006,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=444; METERED_FL=U; PLACEMENT=MIGRATED,19DH2,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{71BACEF9-08DA-5C5B-A8F7-633E1B4D7D72},-71.157054882999944,42.331091052000033,330 (STREET_FEA 3558),STREET_FEA 3558,100,derived_50_100_ft,boston-sam,10553,2496 Beacon St,Beacon St,42.33134866,-71.15692062,Malia Terrace & Reservoir Road,126,nearest_address
8643,23DH64,Market St,344 Market St,IS,994723200000,2304740132,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3953; METERED_FL=U; PLACEMENT=MIGRATED,23DH64,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{661A30D0-6857-5583-94A3-0AE7001EBB0A},-71.152083371999936,42.351196636000054,344 (STREET_FEA 2713),STREET_FEA 2713,47,derived_0_50_ft,boston-sam,90214,344 Market St,Market St,42.35117867,-71.15191062,Bennett Street & Market Street,136,nearest_address
8652,23DH80,Sanderson Pl,16 Sanderson Pl,IS,725846400000,2304740018,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1606; METERED_FL=U; PLACEMENT=MIGRATED,23DH80,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{32DDC775-8A00-5B3F-9879-428A596C1D0A},-71.151465282999936,42.354756473000066,10-12 (STREET_FEA 3786),STREET_FEA 3786,48,derived_0_50_ft,boston-sam,122258,16 Sanderson Pl,Sanderson Pl,42.35462867,-71.15142062,Faneuil Street & Sanderson Place,205,nearest_address
8666,21DH126,Kilsyth Rd,111 Kilsyth Rd,IS,,2104740130,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2443; METERED_FL=U; PLACEMENT=MIGRATED,21DH126,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{F1385EE8-AA76-5685-841A-044A57763403},-71.146333629999958,42.340428052000050,111 (STREET_FEA 2395),STREET_FEA 2395,56,derived_50_100_ft,boston-sam,81586,111 Kilsyth Rd,Kilsyth Rd,42.34057867,-71.14629062,Kilsyth Road & Lanark Road,123,nearest_address
8735,24DH86,N Beacon St,180-182 N Beacon St,IS,675734400000,2404740118,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1836; METERED_FL=U; PLACEMENT=MIGRATED,24DH86,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1238371200000,{88306FA8-AB37-5E96-9D00-47019D2671A3},-71.147364235999987,42.355641249000030,176 (STREET_FEA 29),STREET_FEA 29,118,derived_100_150_ft,boston-sam,168198,180-182 N Beacon St,N Beacon St,42.35543524,-71.14702365,Glencoe Street & North Beacon Street,59,nearest_address
8737,21DH14,Chestnut Hill Ave,217 Chestnut Hill Ave,IS,,2104740139,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4029; METERED_FL=U; PLACEMENT=MIGRATED,21DH14,,,US,USMET250,1989,,,,1,,1177632000000,blundonr,1255478400000,{2B91CE1A-0DD5-5AA0-B040-C18335783E21},-71.155255795999949,42.340238550000038,STREET_FEA 970,STREET_FEA 970,120,derived_100_150_ft,boston-sam,31750,217 Chestnut Hill Ave,Chestnut Hill Ave,42.34052867,-71.15547062,Chestnut Hill Avenue & South Street,67,nearest_address
8757,21CH103,Commonwealth Ave,2101 Commonwealth Ave,IS,,2103740114,,,U,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=1090; METERED_FL=U; PLACEMENT=louisjamey,21CH103,,,U,U,,,,,1,,1461715200000,blundonr,1461888000000,{AE4317E6-4BA4-514B-8ECC-5CA529809131},-71.162856863999934,42.340854440000044,STREET_FEA 3400,STREET_FEA 3400,62,derived_50_100_ft,boston-sam,344168,2101 Commonwealth Ave,Commonwealth Ave,42.34076944,-71.16265598,Commonwealth Avenue & Greycliff Road,460,nearest_address
8767,23BH38,Burton St,29 Burton St,IS,,2302740008,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2235; METERED_FL=U; PLACEMENT=MIGRATED,23BH38,,,DA,ADB-84-B,1986,,,,1,,1177632000000,chalmersh,1250208000000,{E0EB4B11-F383-5F79-ABE5-DF899B27437F},-71.172440285999983,42.354230962000031,29 (STREET_FEA 754),STREET_FEA 754,37,derived_0_50_ft,boston-sam,24168,29 Burton St,Burton St,42.35413867,-71.17238063,Burton Street & Hunnewell Avenue,57,nearest_address
8792,24CH58,Riverview Rd,73-75 Riverview Rd,IS,,2403740010,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3241; METERED_FL=U; PLACEMENT=MIGRATED,24CH58,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{3EC552AB-EB8F-59FF-9C96-41DAEC8BC58A},-71.158598489999974,42.357288478000044,73-75 (STREET_FEA 3612),STREET_FEA 3612,39,derived_0_50_ft,boston-sam,116858,73-75 Riverview Rd,Riverview Rd,42.35718467,-71.15863462,Parsons Street & Riverview Road,281,nearest_address
