objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
7227,25KH108,Friend St,150 Friend St,IS,,2511740241,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1103; METERED_FL=U; PLACEMENT=MIGRATED,25KH108,,,MU,MUCENT,2000,,,,1,,1177632000000,dorleansr,1231891200000,{4DAA2025-7E71-5C2E-82DD-BC3E39FBC5D3},-71.059763884999938,42.362892500000044,STREET_FEA 3033,STREET_FEA 3033,111,derived_100_150_ft,boston-sam,343514,150 Friend St,Friend St,42.36319649,-71.05979578,Bowker Street & Hawkins Street,297,nearest_address
7381,25KH248,Hanover St,145-149 Hanover St,IS,830217600000,2511740489,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2004; METERED_FL=U; PLACEMENT=MIGRATED,25KH248,,,MU,MUCENT,1992,,,,1,,1177632000000,dorleansr,1231891200000,{62CA0D8E-4549-541C-88E2-CF6506EC0F7D},-71.057300253999983,42.361552742000072,45-55 OP (STREET_FEA 4251),STREET_FEA 4251,86,derived_50_100_ft,boston-sam,69055,145-149 Hanover St,Hanover St,42.36168867,-71.05704059,Hanover Street & Union Street,49,nearest_address
7407,25KH805,New Chardon St,25 New Chardon St,IS,1126742400000,2511740508,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2079; METERED_FL=U; PLACEMENT=MIGRATED,25KH805,,,MU,MUCENT,2004,,,,1,,1177632000000,dorleansr,1231891200000,{B403CDA5-2CA7-543B-B11B-3836067FC4E2},-71.061671982999940,42.362337312000079,25 (STREET_FEA 3033),STREET_FEA 3033,82,derived_50_100_ft,boston-sam,101077,25 New Chardon St,New Chardon St,42.36211867,-71.06174059,Hawkins Street & New Chardon Street,52,nearest_address
7452,25KH140,Faneuil Hall Marketplace,200-299 Faneuil Hall Marketplace,IS,,2511740439,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3090; METERED_FL=U; PLACEMENT=MIGRATED,25KH140,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{1B229D59-F24C-5978-8A78-B2644A78D076},-71.054825860999983,42.360440744000073,26 BACK (STREET_FEA 1041),STREET_FEA 1041,115,derived_100_150_ft,boston-sam,165199,200-299 Faneuil Hall Marketplace,Faneuil Hall Marketplace,42.36013971,-71.05495507,Chatham Row & Chatham Street,304,nearest_address
7550,24KH114,Tremont St,2-16 Tremont St,IS,,2411740100,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4211; METERED_FL=U; PLACEMENT=MIGRATED,24KH114,,,MU,MUCENT,1991,,,,1,,1177632000000,mulline,1250035200000,{380F8854-E690-5E4D-8B90-89CC123A8472},-71.059882111999968,42.359347201000048,3 (STREET_FEA 789),STREET_FEA 789,135,derived_100_150_ft,boston-sam,137454,2-16 Tremont St,Tremont St,42.35909427,-71.05951493,Cambridge Street & Tremont Street,114,nearest_address
7929,24KH182,North St,7 North St,IS,,2411740011,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4251; METERED_FL=U; PLACEMENT=MIGRATED,24KH182,,,KE,KEK81-A,2008,,,,1,,1177632000000,dorleansr,1231718400000,{F48FC303-3D18-5EB8-BD1C-EEBA93E06FC6},-71.056109794999941,42.360305341000071,7 BACK (STREET_FEA 3090),STREET_FEA 3090,47,derived_0_50_ft,boston-sam,344707,7 North St,North St,42.36033487,-71.05628111,Clinton Street & North Street,162,nearest_address
8204,24KH92,Beacon St,1 Beacon St,IS,,2411740168,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=314; METERED_FL=U; PLACEMENT=MIGRATED,24KH92,,,KE,KEK11,1973,,,,1,,1177632000000,blundonr,1255478400000,{88408D98-1F8B-5892-9A1B-5DCCB4DCB88E},-71.060758060999945,42.358803981000051,15 BACK (STREET_FEA 3931),STREET_FEA 3931,128,derived_100_150_ft,boston-sam,9475,1 Beacon St,Beacon St,42.35845867,-71.06084059,Cambridge Street & Tremont Street,268,nearest_address
8665,24KH208,Chatham Street,Near Chatham Street & Commercial Street,IS,,2411740017,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,24KH208,,,MU,MUCENT,2003,,,,1,,1177632000000,dorleansr,1231718400000,{5DAA1618-5A10-5D1E-B57A-DF700F05FE62},-71.053824568999971,42.360208234000027,STREET_FEA 6436,STREET_FEA 6436,181,intersection_preferred_150_plus_ft,boston-sam,130418,200 State St,State St,42.36003867,-71.05319059,Chatham Street & Commercial Street,178,nearest_intersection
8770,24KH795,State St,60 State St,IS,,2411740690,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1103; METERED_FL=U; PLACEMENT=MIGRATED,24KH795,,,KE,KEK81,2008,,,,1,,1177632000000,BlundoNR,1330300800000,{1C7E0263-9807-51EA-81B1-C992652F201A},-71.056804381999939,42.359321408000028,60 (STREET_FEA 3998),STREET_FEA 3998,102,derived_100_150_ft,boston-sam,130427,60 State St,State St,42.35927867,-71.05643059,Congress Street & State Street,161,nearest_address
8894,24KH200,Faneuil Hall Sq,199A Faneuil Hall Sq,IS,,2411740033,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,24KH200,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1431648000000,{B6B9A704-8E94-52CA-B384-994697BA6BF0},-71.054777952999984,42.359876309000072,114 (STREET_FEA 6436),STREET_FEA 6436,28,derived_0_50_ft,boston-sam,423137,199A Faneuil Hall Sq,Faneuil Hall Sq,42.35995131,-71.05474857,Chatham Row & Chatham Street,128,nearest_address
9184,24KH204,State St,150-152 State St,IS,,2411330017,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,24KH204,,,LO,U,,,,,1,,1177632000000,poyantm,1464739200000,{F997EA3C-1F07-5D39-B778-94F389F49C44},-71.053694080999946,42.359329356000046,170 (STREET_FEA 3998),STREET_FEA 3998,108,derived_100_150_ft,boston-sam,130375,150-152 State St,State St,42.35940867,-71.05408059,Commercial Street & State Street,33,nearest_address
9340,24KH190,Chatham St,52-56 Chatham St,IS,,2411740064,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=939; METERED_FL=U; PLACEMENT=MIGRATED,24KH190,,,MU,MUCENT,2001,,,,1,,1177632000000,dorleansr,1231718400000,{31EBC6A3-1547-5793-93EE-D402DADCE35E},-71.054953705999935,42.359657030000051,52-54 (STREET_FEA 940),STREET_FEA 940,68,derived_50_100_ft,boston-sam,163218,52-56 Chatham St,Chatham St,42.35947861,-71.05503217,Chatham Row & Chatham Street,150,nearest_address
9489,25KH209,Union St,31-35 Union St,IS,,2511740391,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3780; METERED_FL=U; PLACEMENT=MIGRATED,25KH209,,,DA,ADB-62-B,2005,,,,1,,1177632000000,blundonr,1244505600000,{53263880-9D42-5F5E-A61D-9B06AFB56558},-71.057017349999967,42.360983893000025,27 OPP (STREET_FEA 4251),STREET_FEA 4251,86,derived_50_100_ft,boston-sam,139291,31-35 Union St,Union St,42.36114763,-71.05678522,North Street & Union Street,234,nearest_address
9493,24KH203,State St,136 State St,IS,,2411740095,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=939; METERED_FL=U; PLACEMENT=MIGRATED,24KH203,,,MU,MUCENT,2002,,,,1,,1177632000000,dorleansr,1231804800000,{2695096D-A7BB-5537-989B-82261CE032B1},-71.054286478999984,42.359396308000044,148 (STREET_FEA 3998),STREET_FEA 3998,40,derived_0_50_ft,boston-sam,352828,136 State St,State St,42.35937431,-71.05443031,Chatham Row & State Street,51,nearest_address
