objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1517,21HH51,Brookline Ave,186-200 Brookline Ave,IS,,2108740008,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3206; METERED_FL=U; PLACEMENT=MIGRATED,21HH51,,,US,USMET250,1991,,,,1,,1177632000000,blundonr,1244505600000,{842FC705-68FA-5EA6-A18C-ABA0F557AD5C},-71.102065279999977,42.343990053000027,186 OPP (STREET_FEA 697),STREET_FEA 697,81,derived_50_100_ft,boston-sam,355230,186-200 Brookline Ave,Brookline Ave,42.34386622,-71.10181651,Park Drive & Riverway,285,nearest_address
1537,20HH158,Evans Way,20 Evans Way,IS,,2008740009,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1571; METERED_FL=U; PLACEMENT=MIGRATED,20HH158,,,DA,ADB-84-B,1990,,,,1,,1177632000000,mulline,1231804800000,{BDB3B0B3-0524-5EBE-A591-F47CA17003EE},-71.097073445999968,42.338395217000027,STREET_FEA 2614,STREET_FEA 2614,99,derived_50_100_ft,boston-sam,156596,20 Evans Way,Evans Way,42.33813763,-71.09718979,Evans Way & Louis Prang Street,70,nearest_address
1711,22HH92,Boylston St,1301-1305 Boylston St,IS,,2208740305,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2312; METERED_FL=U; PLACEMENT=MIGRATED,22HH92,,,US,USMET250,1990,,,,1,,1177632000000,blundonr,1255478400000,{649DD680-C4D4-550E-9F09-70191B245004},-71.097747725999966,42.344687422000050,1299 (STREET_FEA 620),STREET_FEA 620,148,derived_100_150_ft,boston-sam,162464,1301-1305 Boylston St,Boylston St,42.34475278,-71.09829059,Boylston Street & Jersey Street,47,nearest_address
1724,21IH36,Hemenway St,148 Hemenway St,IS,,2109740157,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1769; METERED_FL=U; PLACEMENT=MIGRATED,21IH36,,,KE,KEK81,2010,,,,1,,1177632000000,blundonr,1255478400000,{37B63D90-25C5-5208-8A6E-59DECAB5DCA1},-71.090492023999957,42.341870645000029,148 (STREET_FEA 2103),STREET_FEA 2103,37,derived_0_50_ft,boston-sam,72622,148 Hemenway St,Hemenway St,42.34183867,-71.09036060,Gainsborough Street & Hemenway Street,287,nearest_address
1742,22HH124,Newbury St,595-603 Newbury St,IS,1251763200000,2208740124,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1092; METERED_FL=U; PLACEMENT=MIGRATED,22HH124,,,KE,KEK81-A,2008,,,,1,,1177632000000,chalmersh,1274140800000,{CDA8A1E4-D685-5C8B-981A-B8297565E454},-71.096900782999967,42.348082418000047,603 (STREET_FEA 3051),STREET_FEA 3051,80,derived_50_100_ft,boston-sam,101983,595-603 Newbury St,Newbury St,42.34817667,-71.09663060,Brookline Avenue & Newbury Street Extension,159,nearest_address
1765,21HH38,Park Dr,191-195 Park Dr,IS,820454400000,2108740135,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1640; METERED_FL=U; PLACEMENT=MIGRATED,21HH38,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{0A5D93B0-B3DF-59F8-8591-96F974AAFCAA},-71.099902926999960,42.340920134000044,191 (STREET_FEA 3206),STREET_FEA 3206,92,derived_50_100_ft,boston-sam,168507,191-195 Park Dr,Park Dr,42.34117382,-71.09989513,Fenway & Park Drive,26,nearest_address
1834,21HH90,Queensberry St,35 Queensberry St,IS,,2108740046,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2312; METERED_FL=U; PLACEMENT=MIGRATED,21HH90,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{433FE2E9-1A08-5B56-9668-2B9FDC2B17AA},-71.096564175999958,42.343020942000066,35 (STREET_FEA 3489),STREET_FEA 3489,37,derived_0_50_ft,boston-sam,420024,35 Queensberry St,Queensberry St,42.34312228,-71.09656371,Jersey Street & Queensberry Street,128,nearest_address
1930,21HH84,Jersey St,115-125 Jersey St,IS,,2108740068,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3489; METERED_FL=U; PLACEMENT=MIGRATED,21HH84,,,MU,MUCENT,1976,,,,1,,1177632000000,blundonr,1255478400000,{F7026663-ECE9-546E-BB24-3A7E11E6D04B},-71.096913096999970,42.342547777000050,121 (STREET_FEA 2312),STREET_FEA 2312,37,derived_0_50_ft,boston-sam,79706,115-125 Jersey St,Jersey St,42.34254867,-71.09705060,Jersey Street & Queensberry Street,116,nearest_address
1937,22HH22,Buswell St,11 Buswell St,IS,,2208740148,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3405; METERED_FL=U; PLACEMENT=MIGRATED,22HH22,,,KE,KEK81-A,1995,,,,1,,1177632000000,orrda,1461801600000,{AA20768C-CFAF-5339-8665-0CFA322648C9},-71.104976635999947,42.347746705000077,13 (STREET_FEA 760),STREET_FEA 760,45,derived_0_50_ft,boston-sam,24298,11 Buswell St,Buswell St,42.34786867,-71.10499061,Buswell Street & Park Drive,172,nearest_address
1994,22GH21,Buswell St,47 Buswell St,IS,,2207740010,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3764; METERED_FL=U; PLACEMENT=MIGRATED,22GH21,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{10F7E679-9CA1-5C40-BAED-73B8E289A3DD},-71.106991652999966,42.347563457000035,47 BACK (STREET_FEA 760),STREET_FEA 760,86,derived_50_100_ft,boston-sam,24324,47 Buswell St,Buswell St,42.34735867,-71.10683061,Buswell Street & Park Drive,389,nearest_address
