objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
487,21NH78,Shore Road,Near Shore Road & William J. Day Boulevard,IS,1251763200000,2114740059,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=chalmersh,21NH78,,,U,U,,,,,1,,1300060800000,chalmersh,1300060800000,{71F23F61-BB84-5B13-B758-8E2EBFB91830},-71.022924614999965,42.339154750000034,STREET_FEA 0,STREET_FEA 0,283,intersection_preferred_150_plus_ft,boston-sam,56515,20 Farragut Rd,Farragut Rd,42.33917365,-71.02397605,Shore Road & William J. Day Boulevard,540,nearest_intersection
492,21NH77,Shore Road,Near Shore Road & William J. Day Boulevard,IS,1251763200000,2114740058,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=chalmersh,21NH77,,,U,U,,,,,1,,1300060800000,chalmersh,1300060800000,{60A15A3C-BFB9-5623-9394-FF086D2A146D},-71.022837196999944,42.339188459000070,STREET_FEA 0,STREET_FEA 0,306,intersection_preferred_150_plus_ft,boston-sam,56515,20 Farragut Rd,Farragut Rd,42.33917365,-71.02397605,Shore Road & William J. Day Boulevard,540,nearest_intersection
493,21NH74,Shore Road,Near Shore Road & William J. Day Boulevard,IS,1251763200000,2114740055,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=chalmersh,21NH74,,,U,U,,,,,1,,1300060800000,chalmersh,1300060800000,{C8FEC85C-650D-5738-80CC-883FABB60C55},-71.021673268999962,42.339130543000067,STREET_FEA 0,STREET_FEA 0,620,intersection_preferred_150_plus_ft,boston-sam,56515,20 Farragut Rd,Farragut Rd,42.33917365,-71.02397605,Shore Road & William J. Day Boulevard,464,nearest_intersection
499,20MH114,E Sixth St,701 E Sixth St,IS,1117584000000,2013740205,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2885; METERED_FL=U; PLACEMENT=MIGRATED,20MH114,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1220832000000,{239EB1AF-5DDE-524F-9A2A-F222CB94B929},-71.032267869999941,42.333115870000029,701 (STREET_FEA 25),STREET_FEA 25,32,derived_0_50_ft,boston-sam,127773,701 E Sixth St,E Sixth St,42.33302867,-71.03229058,East Sixth Street & Monks Street,89,nearest_address
513,19LH110,E Eighth St,501-503 E Eighth St,IS,801964800000,1912740054,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1960; METERED_FL=U; PLACEMENT=MIGRATED,19LH110,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{B3214571-390A-537C-946E-34CAD9C17F4C},-71.041332796999939,42.331267715000081,501-503 (STREET_FEA 13),STREET_FEA 13,21,derived_0_50_ft,boston-sam,164713,501-503 E Eighth St,E Eighth St,42.33123308,-71.04127182,East Eighth Street & H Street,44,nearest_address
534,19LH4,General William H Devine Way,70 General William H Devine Way,IS,1163635200000,1912740113,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3144; METERED_FL=U; PLACEMENT=MIGRATED,19LH4,,,MU,MUCENT,1993,,,,1,,1177632000000,chalmersh,1225065600000,{F9061863-EF5B-5ACD-8DFF-F83E6C374B75},-71.053089943999964,42.328654237000080,70 (STREET_FEA 1798),STREET_FEA 1798,67,derived_50_100_ft,boston-sam,63243,70 General William H Devine Way,General William H Devine Way,42.32873867,-71.05331059,General William H. Devine Way & Old Colony Avenue,140,nearest_address
535,20LH118,Gold St,220 Gold St,IS,94694400000,2012740105,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1587; METERED_FL=U; PLACEMENT=MIGRATED,20LH118,,,MU,MUCENT,1973,,,,1,,1177632000000,palaciolv,1220918400000,{B0099F7A-BB4A-5A5C-B0FE-1B255275D1BA},-71.049802646999979,42.336308896000048,220 OPP (STREET_FEA 1862),STREET_FEA 1862,46,derived_0_50_ft,boston-sam,65080,220 Gold St,Gold St,42.33638867,-71.04967059,E Street & Gold Street,257,nearest_address
541,20MH56,E Fifth St,593 E Fifth St,IS,,2013740183,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2354; METERED_FL=U; PLACEMENT=MIGRATED,20MH56,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1221004800000,{168EAE8D-61A9-57B2-9A85-C6324F34E879},-71.036590731999979,42.333859712000049,595 (STREET_FEA 14),STREET_FEA 14,20,derived_0_50_ft,boston-sam,57905,593 E Fifth St,E Fifth St,42.33380867,-71.03662058,East Fifth Street & K Street,209,nearest_address
563,20LH130,D St,227-229 D St,IS,1070409600000,2012740012,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=84; METERED_FL=U; PLACEMENT=MIGRATED,20LH130,,,KE,KEK81-A,1994,,,,1,,1177632000000,connorsm,1221177600000,{7D74F9E0-BCA6-548E-AE0E-204F13E5D1D3},-71.051476581999964,42.338163524000038,227 (STREET_FEA 1235),STREET_FEA 1235,24,derived_0_50_ft,boston-sam,164072,227-229 D St,D St,42.33816379,-71.05138824,Crowley-Rogers Way & D Street,50,nearest_address
576,21KH194,Dorchester Ave,141 Dorchester Ave,IS,1075248000000,2111740287,,,MANUAL,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=3909; METERED_FL=U; PLACEMENT=MIGRATED,21KH194,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1244419200000,{6C254F8A-E22D-537E-AADC-6520C4801070},-71.057338073999972,42.342295599000067,145 (STREET_FEA 1359),STREET_FEA 1359,121,derived_100_150_ft,boston-sam,343385,141 Dorchester Ave,Dorchester Ave,42.34198463,-71.05749381,Dorchester Avenue & Silver Street,67,nearest_address
599,18KH90,Monsignor Dennis F. O'Callaghan Way,152-186 Monsignor Dennis F. O'Callaghan Way,IS,1192060800000,1811740024,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5206; METERED_FL=U; PLACEMENT=MIGRATED,18KH90,,,KE,KEK81-A,2007,,,,1,,1177632000000,chalmersh,1241481600000,{582C33DF-93E3-5F7C-8D28-3DA2A0D12BCA},-71.055269107999948,42.326523636000047,174 OPP (STREET_FEA 5391),STREET_FEA 5391,78,derived_50_100_ft,boston-sam,350640,152-186 Monsignor Dennis F. O'Callaghan Way,Monsignor Dennis F. O'Callaghan Way,42.32636122,-71.05545717,Henry Sterling Square & Monsignor Dennis F. O'Callaghan Way,105,nearest_address
