objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
529,18HH189,Horan Way,17-25 Horan Way,IS,,1808740214,,,GPS,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=522; METERED_FL=U; PLACEMENT=denapolipd,18HH189,,,US,USMET250,1995,,,,1,,1206403200000,orrda,1285632000000,{E79B588E-310D-579B-9E19-9BADDF19B76D},-71.102028338999958,42.325473192000061,STREET_FEA 2206,STREET_FEA 2206,99,derived_50_100_ft,boston-sam,343178,17-25 Horan Way,Horan Way,42.32563989,-71.10232109,Bickford Street & Horan Way,179,nearest_address
562,15GH66,Mcbride St,58-62 Mcbride St,IS,1147910400000,1507740186,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2494; METERED_FL=U; PLACEMENT=MIGRATED,15GH66,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1244505600000,{D56528DE-D9AC-5BDC-AAA3-52268BD2EEE5},-71.112804807999964,42.306081386000074,62 (STREET_FEA 2776),STREET_FEA 2776,28,derived_0_50_ft,boston-sam,93408,58-62 Mcbride St,Mcbride St,42.30615866,-71.11281061,Child Street & Verona Street,309,nearest_address
569,15HH87,Forest Hills St,115-121 Forest Hills St,IS,,1508740098,,,GPS,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=2616; METERED_FL=U; PLACEMENT=blundonr,15HH87,,,MU,MUCENT,1995,,,,1,,1239926400000,denapolipd,1264377600000,{F44D176E-476D-559B-B883-2A7FAF28E3E6},-71.103460737999967,42.307987393000076,115 BACK (STREET_FEA 1694),STREET_FEA 1694,115,derived_100_150_ft,boston-sam,341296,115-121 Forest Hills St,Forest Hills St,42.30815350,-71.10309854,Forest Hills Street & Lourdes Avenue,347,nearest_address
570,18GH22,Jamaicaway,232 Jamaicaway,IS,,1807740077,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=765; METERED_FL=U; PLACEMENT=MIGRATED,18GH22,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{B7F5C48B-0982-5957-B5AB-F55D28719C95},-71.114787972999977,42.323919915000033,232 (STREET_FEA 2298),STREET_FEA 2298,73,derived_50_100_ft,boston-sam,79418,232 Jamaicaway,Jamaicaway,42.32378867,-71.11458061,Castleton Street & Jamaicaway,152,nearest_address
586,16HH82,Dalrymple St,38-40 Dalrymple St,IS,,1608740047,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1244; METERED_FL=U; PLACEMENT=MIGRATED,16HH82,,,MU,MUCENT,2000,,,,1,,1177632000000,palaciolv,1231372800000,{28363F04-393A-5BDE-9A18-9FB9E1A42119},-71.102275164999980,42.315356241000075,172 (STREET_FEA 622),STREET_FEA 622,41,derived_0_50_ft,boston-sam,45809,38-40 Dalrymple St,Dalrymple St,42.31546866,-71.10228060,Bismarck Street & Boylston Street,38,nearest_address
590,13GH26,Martinwood Rd,20 Martinwood Rd,IS,,1307740013,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3937; METERED_FL=U; PLACEMENT=MIGRATED,13GH26,,,KE,KEK81,2011,,,,1,,1177632000000,blundonr,1255478400000,{6288AE12-1980-5462-9D6E-02350092186C},-71.116587977999984,42.300031441000044,20 (STREET_FEA 2730),STREET_FEA 2730,45,derived_0_50_ft,boston-sam,91770,20 Martinwood Rd,Martinwood Rd,42.30003866,-71.11642061,Martinwood Road & South Street,160,nearest_address
594,17FH6,Perkins Street,Near Perkins Street & Sargent Crossway,IS,,1706740008,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3283; METERED_FL=U; PLACEMENT=MIGRATED,17FH6,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1231372800000,{DBA60FC9-87DD-5310-A3D3-4A4BC26B8E93},-71.124069024999983,42.320239012000059,77 OPP (STREET_FEA 3794),STREET_FEA 3794,242,intersection_preferred_150_plus_ft,boston-sam,109525,329 Perkins St,Perkins St,42.31964866,-71.12448061,Perkins Street & Sargent Crossway,312,nearest_intersection
596,13GH90,Orchardhill Rd,59 Orchardhill Rd,IS,,1307740032,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=660; METERED_FL=U; PLACEMENT=MIGRATED,13GH90,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{32DF0D33-A68E-5494-B599-1C4CBD70F294},-71.111109976999956,42.299332731000050,59 (STREET_FEA 3162),STREET_FEA 3162,31,derived_0_50_ft,boston-sam,105543,59 Orchardhill Rd,Orchardhill Rd,42.29924866,-71.11113060,Bremen Terrace & Orchardhill Road,37,nearest_address
603,17GH148,Cranston St,18 Cranston St,IS,,1707740032,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4136; METERED_FL=U; PLACEMENT=MIGRATED,17GH148,,,MU,MUCENT,1993,,,,1,,1177632000000,palaciolv,1231459200000,{AD120866-515A-5CBD-B8B3-068668271597},-71.109151436999980,42.321066856000073,18 (STREET_FEA 1175),STREET_FEA 1175,24,derived_0_50_ft,boston-sam,44019,18 Cranston St,Cranston St,42.32110866,-71.10908061,Cranston Street & Termine Avenue,192,nearest_address
604,16HH18,Minton St,11 Minton St,IS,,1608740140,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2827; METERED_FL=U; PLACEMENT=MIGRATED,16HH18,,,MU,MUCENT,2002,,,,1,,1177632000000,palaciolv,1231372800000,{D0366E9D-AED3-5366-9B64-1C06FBC80533},-71.104135032999977,42.313243366000052,11 (STREET_FEA 2875),STREET_FEA 2875,39,derived_0_50_ft,boston-sam,96217,11 Minton St,Minton St,42.31313866,-71.10411060,Merriam Street & Minton Street,34,nearest_address
