objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1849,20HH209,Huntington Ave,724-742 Huntington Ave,IS,1038700800000,2008740291,,,AS BUILT,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4214; METERED_FL=U; PLACEMENT=blundonr,20HH209,,,KE,KEK81-A,2002,,,,1,,1446076800000,blundonr,1446076800000,{14C8D651-7156-5E1F-A933-AD0DC6EF1A74},-71.104936290999945,42.333603882000034,STREET_FEA 783,STREET_FEA 783,94,derived_50_100_ft,boston-sam,76411,724-742 Huntington Ave,Huntington Ave,42.33384967,-71.10503860,Calumet Street & Huntington Avenue,176,nearest_address
1873,20HH36,Smith St,146 Smith St,IS,,2008740139,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3919; METERED_FL=U; PLACEMENT=MIGRATED,20HH36,,,KE,KEK81-A,2008,,,,1,,1177632000000,blundonr,1255478400000,{84F41110-1B02-5053-BAB2-0587796744D1},-71.102286325999955,42.334979356000076,STREET_FEA 2239,STREET_FEA 2239,58,derived_50_100_ft,boston-sam,375658,146 Smith St,Smith St,42.33482867,-71.10236060,Huntington Avenue & Smith Street,53,nearest_address
1985,19HH114,Pontiac St,6-12 Pontiac St,IS,1285545600000,1908740017,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4214; METERED_FL=U; PLACEMENT=MIGRATED,19HH114,,,KE,KEK81-A,2010,,,,1,,1177632000000,BlundoNR,1301443200000,{85F6980C-323D-5636-ACAA-F8DBE3E017E4},-71.100888501999975,42.332343770000080,6-12 OPP (STREET_FEA 3355),STREET_FEA 3355,46,derived_0_50_ft,boston-sam,111732,6-12 Pontiac St,Pontiac St,42.33225667,-71.10076660,Pontiac Street & Tremont Street,150,nearest_address
2133,19GH40,Fisher Ave,184-190 Fisher Ave,IS,,1907740093,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3226; METERED_FL=U; PLACEMENT=MIGRATED,19GH40,,,KE,KEK81-A,1998,,,,1,,1177632000000,mulline,1231372800000,{E47710D7-74C3-5B98-92E8-D449E30264AE},-71.108372516999964,42.328942018000077,188 (STREET_FEA 1667),STREET_FEA 1667,24,derived_0_50_ft,boston-sam,165279,184-190 Fisher Ave,Fisher Ave,42.32888767,-71.10841967,Estey Street & Fisher Avenue,330,nearest_address
2192,19HH150,Tremont St,1474 Tremont St,IS,801964800000,1908740029,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3859; METERED_FL=U; PLACEMENT=MIGRATED,19HH150,,,KE,KEK81-A,1995,,,,1,,1177632000000,louisjamey,1461110400000,{5802086A-DA64-5E46-8FF0-A36E1A94F653},-71.098307829999953,42.331934769000043,1481 OPP (STREET_FEA 4214),STREET_FEA 4214,45,derived_0_50_ft,boston-sam,136848,1474 Tremont St,Tremont St,42.33182867,-71.09822060,Sewall Street & Tremont Street,112,nearest_address
2286,18HH72,Wensley St,88-90 Wensley St,IS,,1808740010,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=725; METERED_FL=U; PLACEMENT=MIGRATED,18HH72,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{6467C69A-12C3-587C-B274-1821105CAFD0},-71.104074065999953,42.327371063000044,88 (STREET_FEA 4449),STREET_FEA 4449,38,derived_0_50_ft,boston-sam,147807,88-90 Wensley St,Wensley St,42.32727367,-71.10402760,Bucknam Street & Wensley Street,37,nearest_address
2304,20HH72,Huntington Ave,640-644 Huntington Ave,IS,,2008740111,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3740; METERED_FL=U; PLACEMENT=MIGRATED,20HH72,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231891200000,{C24C75C9-78C8-56BB-8582-54A45C86C407},-71.099573323999948,42.335982128000069,640 (STREET_FEA 2239),STREET_FEA 2239,55,derived_50_100_ft,boston-sam,76395,640-644 Huntington Ave,Huntington Ave,42.33586684,-71.09970350,Saint Alphonsus Street & Ward Street,82,nearest_address
2338,18HH100,Fisher Ave,28 Fisher Ave,IS,,1808740012,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3225; METERED_FL=U; PLACEMENT=MIGRATED,18HH100,,,KE,KEK81-A,1998,,,,1,,1177632000000,palaciolv,1231718400000,{990A33ED-D820-5605-857D-D0AD2A56716F},-71.101113625999972,42.327341577000027,28 (STREET_FEA 1667),STREET_FEA 1667,23,derived_0_50_ft,boston-sam,58577,28 Fisher Ave,Fisher Ave,42.32727867,-71.10111060,Bickford Street & Heath Street,340,nearest_address
2468,19GH72,Hillside St,168 Hillside St,IS,,1907740038,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1472; METERED_FL=U; PLACEMENT=MIGRATED,19GH72,,,MU,MUCENT,2003,,,,1,,1177632000000,mulline,1231372800000,{56B8AFA2-9582-52A4-B76F-E6EDA6149A14},-71.107451766999986,42.331563801000073,168 (STREET_FEA 2162),STREET_FEA 2162,38,derived_0_50_ft,boston-sam,74194,168 Hillside St,Hillside St,42.33149867,-71.10756061,Eldora Street & Hillside Street,69,nearest_address
2493,19HH106,Parker St,743 Parker St,IS,,1908740082,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1307; METERED_FL=U; PLACEMENT=MIGRATED,19HH106,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{CE45E100-AC8E-5F91-BAA1-9AA6C2076433},-71.097958967999944,42.330540269000039,743 (STREET_FEA 3225),STREET_FEA 3225,59,derived_50_100_ft,boston-sam,107836,743 Parker St,Parker St,42.33067867,-71.09807060,Oscar Street & Parker Street,13,nearest_address
