facilityid,streetname,address,lifecyclestatus,address_distance_ft,lon,lat,source,source_pulled_at,source_address,source_streetname,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
HYD-00574.0,Bellingham Street,193 Bellingham Street,In Service,68,-71.02379430192246,42.390276212162526,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,193 Bellingham Street,Bellingham Street,derived_50_100_ft,massgis-chelsea,4544842,193 Bellingham Street,Bellingham Street,42.39014007,-71.02396552,Bellingham Street & Eastern Avenue,247,nearest_address
HYD-00576.0,Carter Street,Near Carter Street & Second Street,In Service,414,-71.04381844614885,42.39544646539696,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,240 Second Street,Second Street,intersection_preferred_150_plus_ft,massgis-chelsea,3688403,240 Second Street,Second Street,42.39505997,-71.04526591,Carter Street & Second Street,564,nearest_intersection
HYD-00577.0,Carter Street,Near Carter Street & Fourth Street,In Service,196,-71.04294827473743,42.3970459598836,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,115 Carter Street,Carter Street,intersection_preferred_150_plus_ft,massgis-chelsea,3688317,115 Carter Street,Carter Street,42.39746799,-71.04249481,Carter Street & Fourth Street,359,nearest_intersection
HYD-00578.0,Cottage Street,175 Cottage Street,In Service,126,-71.02579256214663,42.38881171168989,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,175 Cottage Street,Cottage Street,derived_100_150_ft,massgis-chelsea,3694411,175 Cottage Street,Cottage Street,42.38913461,-71.02562331,Watts Street & Willow Street,268,nearest_address
HYD-00579.0,Cottage Street,Near Cottage Street & Silver Line Busway,In Service,167,-71.024284449714,42.3890631546828,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,195 Cottage Street,Cottage Street,intersection_preferred_150_plus_ft,massgis-chelsea,3685476,50 Eastern Avenue,Eastern Avenue,42.38930101,-71.02375451,Cottage Street & Silver Line Busway,272,nearest_intersection
HYD-00580.0,Cottage Street,165 Cottage Street,In Service,109,-71.02473526139327,42.38916412117144,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,165 Cottage Street,Cottage Street,derived_100_150_ft,massgis-chelsea,3694265,165 Cottage Street,Cottage Street,42.38945520,-71.02463765,Cottage Street & Silver Line Busway,228,nearest_address
HYD-00581.0,Cottage Street,175 Cottage Street,In Service,89,-71.02531413283242,42.38922377075138,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,175 Cottage Street,Cottage Street,derived_50_100_ft,massgis-chelsea,3694411,175 Cottage Street,Cottage Street,42.38913461,-71.02562331,Cottage Street & Silver Line Busway,283,nearest_address
HYD-00582.0,Chester Avenue,214 Chester Avenue,In Service,86,-71.02570732978263,42.38948085834162,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,214 Chester Avenue,Chester Avenue,derived_50_100_ft,massgis-chelsea,3688144,214 Chester Avenue,Chester Avenue,42.38965081,-71.02593047,Chester Avenue & Willow Street,224,nearest_address
HYD-00583.0,Second Street,105 Second Street,In Service,60,-71.04148565609827,42.393110301921695,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,105 Second Street,Second Street,derived_50_100_ft,massgis-chelsea,3686674,105 Second Street,Second Street,42.39294706,-71.04147124,Second Street & Spruce Street,382,nearest_address
HYD-00584.0,Arlington Street,Near Arlington Street & Second Street,In Service,173,-71.04068058850902,42.392472847795204,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,60 Arlington Street,Arlington Street,intersection_preferred_150_plus_ft,massgis-chelsea,3685131,60 Arlington Street,Arlington Street,42.39229871,-71.04128137,Arlington Street & Second Street,265,nearest_intersection
