objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
6435,20GH50,STREET_FEA 532,53 (STREET_FEA 532),IS,,2007740034,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2320; METERED_FL=U; PLACEMENT=MIGRATED,20GH50,,,US,USMET250,1996,,,,1,,1177632000000,blundonr,1435622400000,{0218ABC4-E48B-5A87-8315-2CA97A244AB4},-71.106655268999987,42.337823695000054
6447,21GH8,STREET_FEA 2595,380 (STREET_FEA 2595),IS,960595200000,2107740037,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3338; METERED_FL=U; PLACEMENT=MIGRATED,21GH8,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{1D54F52D-054D-5C0A-9B94-11A384837AC5},-71.108931846999951,42.339801181000041
6483,20HH49,STREET_FEA 2595,320 (STREET_FEA 2595),IS,,2008740049,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5433; METERED_FL=U; PLACEMENT=MIGRATED,20HH49,,,MU,MUCENT,1978,,,,1,,1177632000000,mulline,1231804800000,{CB56871A-E304-5AD3-BEC5-109545B488F5},-71.105487968999967,42.337579749000042
6563,20GH37,STREET_FEA 3308,195 BACK (STREET_FEA 3308),IS,,2007740008,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3615; METERED_FL=U; PLACEMENT=MIGRATED,20GH37,,,MH,MH929,1988,,,,1,,1177632000000,mulline,1231718400000,{574CCBD1-65DF-5823-AF59-69E6D56C52AE},-71.110370501999967,42.338414321000073
6614,20GH48,STREET_FEA 697,429-435 (STREET_FEA 697),IS,,2007740016,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2341; METERED_FL=U; PLACEMENT=MIGRATED,20GH48,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{2C86A7C6-4F3D-55F6-A99C-86AB674C269A},-71.108027115999960,42.338333794000050
6696,20GH58,STREET_FEA 1719,52 (STREET_FEA 1719),IS,,2007740128,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4316; METERED_FL=U; PLACEMENT=mulline,20GH58,,,MH,MH929,2007,,,,1,,1207180800000,blundonr,1230076800000,{85F50C67-47E5-5DD5-9666-53C5601480D9},-71.107603296999969,42.335776838000072
6766,21HH108,STREET_FEA 697,279 (STREET_FEA 697),IS,1014508800000,2108740185,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3899; METERED_FL=U; PLACEMENT=MIGRATED,21HH108,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1271808000000,{C96DC45F-41BA-50AC-A569-A84DA506218D},-71.103315211999984,42.339325483000039
6779,21GH16,STREET_FEA 2595,407 OPP (STREET_FEA 2595),IS,960595200000,2107740029,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3615; METERED_FL=U; PLACEMENT=MIGRATED,21GH16,,,KE,KEK81-A,1995,,,,1,,1177632000000,mulline,1231891200000,{4D691105-2B92-5832-A0D1-E7B9E5AF9F3E},-71.109568039999942,42.340154641000026
6885,20HH74,STREET_FEA 2239,STREET_FEA 2239,IS,,2008740107,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=MIGRATED,20HH74,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231891200000,{5F36BB86-BA64-51D0-9878-322C70093B02},-71.099471909999977,42.336339166000073
7135,21GH30,STREET_FEA 3615,214 (STREET_FEA 3615),IS,,2107740009,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3338; METERED_FL=U; PLACEMENT=MIGRATED,21GH30,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{9B4D39CB-761B-593A-8917-25DAF6AB2468},-71.107152306999978,42.341483050000079
