objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
838,23GH15,Commonwealth Ave,855-861 Commonwealth Ave,IS,1034899200000,2307740086,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=726; METERED_FL=U; PLACEMENT=MIGRATED,23GH15,,,MU,MUCENT,1991,,,,1,,1177632000000,connorsm,1237852800000,{8BC75ADC-BBE6-5F69-8F15-A44778237BE1},-71.113941569999952,42.351060035000046,857-861 (STREET_FEA 1093),STREET_FEA 1093,108,derived_100_150_ft,boston-sam,341949,855-861 Commonwealth Ave,Commonwealth Ave,42.35134082,-71.11381434,Amory Street & Commonwealth Avenue,112,nearest_address
933,23FH66,Commonwealth Ave,1152 Commonwealth Ave,IS,936316800000,2306740207,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4165; METERED_FL=U; PLACEMENT=MIGRATED,23FH66,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{4370DAF6-B9A7-59A4-B82C-9583D68C7E5B},-71.127108112999963,42.350390592000053,1152 (STREET_FEA 1090),STREET_FEA 1090,81,derived_50_100_ft,boston-sam,37038,1152 Commonwealth Ave,Commonwealth Ave,42.35016867,-71.12714061,Commonwealth Avenue & Saint Lukes Road,148,nearest_address
957,23EH154,Harvard Ave,74-84 Harvard Ave,IS,1022889600000,2305740048,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1779; METERED_FL=U; PLACEMENT=MIGRATED,23EH154,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{E4160E08-A3AE-5980-8376-49CC418C87E7},-71.132178643999964,42.353808698000080,74 (STREET_FEA 2044),STREET_FEA 2044,43,derived_0_50_ft,boston-sam,70396,74-84 Harvard Ave,Harvard Ave,42.35380567,-71.13202061,Harvard Avenue & Harvard Terrace,103,nearest_address
978,22EH144,Commonwealth Ave,1258 Commonwealth Ave,IS,936316800000,2205740015,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3702; METERED_FL=U; PLACEMENT=MIGRATED,22EH144,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{546C8705-C1AF-55AD-9F91-474FE852EC70},-71.132300836999946,42.349403029000030,1258 (STREET_FEA 1090),STREET_FEA 1090,56,derived_50_100_ft,boston-sam,163755,1258 Commonwealth Ave,Commonwealth Ave,42.34926155,-71.13221512,Commonwealth Avenue & Royce Road,116,nearest_address
980,23FH94,Gardner Ter,9 Gardner Ter,IS,891820800000,2306740073,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1779; METERED_FL=U; PLACEMENT=MIGRATED,23FH94,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{6AA74C15-25F9-5D7D-8374-59537D47B75A},-71.125938099999985,42.352876819000073,9 (STREET_FEA 1782),STREET_FEA 1782,46,derived_0_50_ft,boston-sam,62700,9 Gardner Ter,Gardner Ter,42.35292567,-71.12609561,Gardner Street & Gardner Terrace,217,nearest_address
1046,26FH16,Harvard Way,10 Harvard Way,IS,1131494400000,2606740019,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2057; METERED_FL=U; PLACEMENT=MIGRATED,26FH16,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1238371200000,{1B49EB6D-7A16-5AB9-B9C9-3B8F4A230EB4},-71.124302545999967,42.367586595000034,STREET_FEA 37,STREET_FEA 37,118,derived_100_150_ft,boston-sam,341809,10 Harvard Way,Harvard Way,42.36733252,-71.12402897,Harvard Way & North Harvard Street,97,nearest_address
1056,23EH158,Farrington Ave,7 Farrington Ave,IS,,2305740035,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2044; METERED_FL=U; PLACEMENT=MIGRATED,23EH158,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{59CDD948-5349-554C-9FB8-3E15849F7B82},-71.131872829999963,42.354250275000027,7 (STREET_FEA 1618),STREET_FEA 1618,57,derived_50_100_ft,boston-sam,56630,7 Farrington Ave,Farrington Ave,42.35411867,-71.13176061,Farrington Avenue & Highgate Street,133,nearest_address
1088,25EH74,Westford St,40 Westford St,IS,,2505740083,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4471; METERED_FL=U; PLACEMENT=MIGRATED,25EH74,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{578C17F9-DF5E-5C7A-8D41-EA2383A86E7C},-71.133772278999970,42.362301075000062,40 (STREET_FEA 4981),STREET_FEA 4981,47,derived_0_50_ft,boston-sam,148239,40 Westford St,Westford St,42.36223867,-71.13362062,Everett Square & Westford Street,10,nearest_address
1096,24EH142,Franklin St,59-63 Franklin St,IS,,2405740095,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=170; METERED_FL=U; PLACEMENT=MIGRATED,24EH142,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{574C0129-A2AE-5DCC-AF18-37D7181CCF8B},-71.132941330999984,42.357787529000063,63 (STREET_FEA 1726),STREET_FEA 1726,31,derived_0_50_ft,boston-sam,60635,59-63 Franklin St,Franklin St,42.35785367,-71.13287061,Adamson Street & Alcott Street,34,nearest_address
1110,24FH34,Hooker St,23-25 Hooker St,IS,,2406740074,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=290; METERED_FL=U; PLACEMENT=MIGRATED,24FH34,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{81D49F3F-448B-5D6B-9A63-C5252788F8C0},-71.129198442999950,42.358047108000051,19-21 (STREET_FEA 2196),STREET_FEA 2196,47,derived_0_50_ft,boston-sam,75165,23-25 Hooker St,Hooker St,42.35795367,-71.12907761,Arden Street & Hooker Street,68,nearest_address
1231,23FH20,Farrington Ave,23-25 Farrington Ave,IS,-1009843200000,2306740021,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2558; METERED_FL=U; PLACEMENT=MIGRATED,23FH20,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1255478400000,{17BB38B4-4B91-547F-B7D7-A19D18C618ED},-71.130808674999969,42.354425629000048,23-25 (STREET_FEA 1618),STREET_FEA 1618,66,derived_50_100_ft,boston-sam,56628,23-25 Farrington Ave,Farrington Ave,42.35425867,-71.13090061,Farrington Avenue & Linden Street,114,nearest_address
