objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1010,20JH146,Washington St,1701 Washington St,IS,,2010740067,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=106; METERED_FL=U; PLACEMENT=MIGRATED,20JH146,,,US,USMET250,1989,,,,1,,1177632000000,blundonr,1461801600000,{EB7AC61D-4952-5177-9F0C-C16CD21752FF},-71.076434093999978,42.337547455000049,STREET_FEA 2549,STREET_FEA 2549,70,derived_50_100_ft,boston-sam,144360,1701 Washington St,Washington St,42.33744867,-71.07621060,Lincoln Place & West Springfield Street,113,nearest_address
1077,21JH188,Union Park St,75 Union Park St,IS,,2110740185,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2032; METERED_FL=U; PLACEMENT=MIGRATED,21JH188,,,MU,MUCENT,1980,,,,1,,1177632000000,blundonr,1255478400000,{E48E1FB9-5FA0-5169-9999-25B9582FAF8B},-71.068215444999964,42.340572438000038,75 (STREET_FEA 4253),STREET_FEA 4253,78,derived_50_100_ft,boston-sam,139379,75 Union Park St,Union Park St,42.34060867,-71.06850059,Harrison Avenue & Union Park Street,57,nearest_address
1080,20JH218,Albany St,599 Albany St,IS,659923200000,2010740089,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5; METERED_FL=U; PLACEMENT=MIGRATED,20JH218,,,US,USMET250,1990,,,,1,,1177632000000,blundonr,1244505600000,{E369BFB8-F7B4-5ADE-B87C-DFC555283838},-71.068499617999976,42.337165187000039,599 (STREET_FEA 160),STREET_FEA 160,52,derived_50_100_ft,boston-sam,1555,599 Albany St,Albany St,42.33726867,-71.06863059,Albany Street & East Canton Street,45,nearest_address
1099,21JH96,Aguadilla St,21 Aguadilla St,IS,,2110740147,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4217; METERED_FL=U; PLACEMENT=MIGRATED,21JH96,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{F5D25ACF-929D-59CF-8028-A34FDD900F60},-71.075338085999988,42.341249291000054,40 OPP (STREET_FEA 145),STREET_FEA 145,34,derived_0_50_ft,boston-sam,370251,21 Aguadilla St,Aguadilla St,42.34130867,-71.07524059,Aguadilla Street & West Brookline Street,187,nearest_address
1109,21JH16,Worcester St,114 Worcester St,IS,,2110740180,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4217; METERED_FL=U; PLACEMENT=MIGRATED,21JH16,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{53FAACE2-B411-5B3D-B45A-2FB135E6306C},-71.079286576999948,42.340679668000064,114 OPP (STREET_FEA 4636),STREET_FEA 4636,102,derived_100_150_ft,boston-sam,171990,114 Worcester St,Worcester St,42.34062420,-71.07965916,Tremont Street & Worcester Street,240,nearest_address
1133,20JH186,Albany St,650 Albany St,IS,,2010740148,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4; METERED_FL=U; PLACEMENT=MIGRATED,20JH186,,,MU,MUCENT,1991,,,,1,,1177632000000,chalmersh,1225152000000,{CC84A30F-C336-501C-92B5-F772116EEE88},-71.069602963999955,42.336146815000063,650 (STREET_FEA 160),STREET_FEA 160,60,derived_50_100_ft,boston-sam,1563,650 Albany St,Albany St,42.33600467,-71.06948859,Albany Street & East Newton Street,154,nearest_address
1169,21KH24,E Berkeley St,273 E Berkeley St,IS,,2111740056,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2256; METERED_FL=U; PLACEMENT=MIGRATED,21KH24,,,MU,MUCENT,1981,,,,1,,1177632000000,blundonr,1255478400000,{2EBC3FBF-30A9-5CA0-9EF2-7C6339E4D802},-71.062754340999959,42.342782076000049,STREET_FEA 160,STREET_FEA 160,99,derived_50_100_ft,boston-sam,155958,273 E Berkeley St,E Berkeley St,42.34279154,-71.06312216,Albany Street & East Berkeley Street,102,nearest_address
1247,20JH106,E Springfield St,60 E Springfield St,IS,1250035200000,2010740181,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2032; METERED_FL=U; PLACEMENT=MIGRATED,20JH106,,,KE,KEK81-A,1995,,,,1,,1177632000000,denapolipd,1279584000000,{7598A274-64E0-5139-B0AA-A961D2D71A23},-71.074549742999977,42.335582619000036,60 (STREET_FEA 26),STREET_FEA 26,41,derived_0_50_ft,boston-sam,129907,60 E Springfield St,E Springfield St,42.33566739,-71.07444919,East Springfield Street & Harrison Avenue,43,nearest_address
1377,20JH142,Washington St,1673-1679 Washington St,IS,1065052800000,2010740060,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4636; METERED_FL=U; PLACEMENT=MIGRATED,20JH142,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1388102400000,{B27B9B90-7953-511D-AAA0-D058DCF32699},-71.075536796999984,42.337675165000064,1675 (STREET_FEA 4400),STREET_FEA 4400,42,derived_0_50_ft,boston-sam,460427,1673-1679 Washington St,Washington St,42.33770742,-71.07568491,Washington Street & Worcester Square,84,nearest_address
1457,21JH42,Tremont St,694A-694 Tremont St,IS,,2110740174,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3729; METERED_FL=U; PLACEMENT=MIGRATED,21JH42,,,DA,ADB-84-B,1986,,,,1,,1177632000000,blundonr,1255478400000,{D51DBE42-F775-50BE-B1F3-854B47E26DC6},-71.077225270999975,42.340752773000077,694 (STREET_FEA 4217),STREET_FEA 4217,33,derived_0_50_ft,boston-sam,170467,694A-694 Tremont St,Tremont St,42.34066665,-71.07718174,Rutland Square & Rutland Street,68,nearest_address
1489,22JH128,Tremont St,532 Tremont St,IS,978307200000,2210740328,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2852; METERED_FL=U; PLACEMENT=MIGRATED,22JH128,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1224720000000,{D6B0EC02-E0F1-525D-B9CF-4416C216D6AB},-71.070337228999961,42.344542010000055,532 (STREET_FEA 4217),STREET_FEA 4217,26,derived_0_50_ft,boston-sam,170422,532 Tremont St,Tremont St,42.34449047,-71.07027099,Milford Street & Tremont Street,63,nearest_address
